# batch_id=B-PARTNER_BETA-ORIGINATOR-20240115,partner_code=PARTNER_BETA,business_date=2024-01-15,declared_count=94,declared_amount_paise=50043179
loan_reference,amount_paise,status,timestamp,utr_reference,event_type,correlation_id,business_event_id
LOAN-000021,892740,SUCCESS,2024-01-15T11:25Z,UTR-LOAN-000021-529,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000021,EVT-LOAN-000021
LOAN-000030,356266,SUCCESS,2024-01-15T10:07Z,UTR-LOAN-000030-290,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000030,EVT-LOAN-000030
LOAN-000060,502806,SUCCESS,2024-01-15T13:00Z,UTR-LOAN-000060-526,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000060,EVT-LOAN-000060
LOAN-000063,814016,SUCCESS,2024-01-15T15:53Z,UTR-LOAN-000063-823,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000063,EVT-LOAN-000063
LOAN-000103,210206,SUCCESS,2024-01-15T09:17Z,UTR-LOAN-000103-953,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000103,EVT-LOAN-000103
LOAN-000120,872469,SUCCESS,2024-01-15T11:42Z,UTR-LOAN-000120-495,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000120,EVT-LOAN-000120
LOAN-000123,343815,SUCCESS,2024-01-15T15:20Z,UTR-LOAN-000123-564,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000123,EVT-LOAN-000123
LOAN-000124,776076,SUCCESS,2024-01-15T12:08Z,UTR-LOAN-000124-227,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000124,EVT-LOAN-000124
LOAN-000130,657556,SUCCESS,2024-01-15T11:54Z,UTR-LOAN-000130-397,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000130,EVT-LOAN-000130
LOAN-000163,101488,SUCCESS,2024-01-15T13:54Z,UTR-LOAN-000163-10,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000163,EVT-LOAN-000163
LOAN-000165,266994,SUCCESS,2024-01-15T10:47Z,UTR-LOAN-000165-124,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000165,EVT-LOAN-000165
LOAN-000176,586086,SUCCESS,2024-01-15T12:11Z,UTR-LOAN-000176-643,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000176,EVT-LOAN-000176
LOAN-000193,732586,SUCCESS,2024-01-15T16:28Z,UTR-LOAN-000193-781,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000193,EVT-LOAN-000193
LOAN-000200,895051,SUCCESS,2024-01-15T10:06Z,UTR-LOAN-000200-65,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000200,EVT-LOAN-000200
LOAN-000207,122862,SUCCESS,2024-01-15T16:04Z,UTR-LOAN-000207-894,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000207,EVT-LOAN-000207
LOAN-000209,639343,SUCCESS,2024-01-15T13:07Z,UTR-LOAN-000209-612,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000209,EVT-LOAN-000209
LOAN-000220,640524,SUCCESS,2024-01-15T12:47Z,UTR-LOAN-000220-597,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000220,EVT-LOAN-000220
LOAN-000228,561173,SUCCESS,2024-01-15T16:05Z,UTR-LOAN-000228-29,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000228,EVT-LOAN-000228
LOAN-000232,572285,SUCCESS,2024-01-15T11:55Z,UTR-LOAN-000232-244,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000232,EVT-LOAN-000232
LOAN-000235,448188,SUCCESS,2024-01-15T10:06Z,UTR-LOAN-000235-15,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000235,EVT-LOAN-000235
LOAN-000237,453558,SUCCESS,2024-01-15T14:41Z,UTR-LOAN-000237-257,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000237,EVT-LOAN-000237
LOAN-000254,280009,SUCCESS,2024-01-15T14:16Z,UTR-LOAN-000254-717,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000254,EVT-LOAN-000254
LOAN-000266,481827,SUCCESS,2024-01-15T16:09Z,UTR-LOAN-000266-603,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000266,EVT-LOAN-000266
LOAN-000274,861190,SUCCESS,2024-01-15T13:16Z,UTR-LOAN-000274-700,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000274,EVT-LOAN-000274
LOAN-000278,283656,SUCCESS,2024-01-15T15:22Z,UTR-LOAN-000278-629,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000278,EVT-LOAN-000278
LOAN-000288,631643,SUCCESS,2024-01-15T09:03Z,UTR-LOAN-000288-979,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000288,EVT-LOAN-000288
LOAN-000294,943477,SUCCESS,2024-01-15T15:40Z,UTR-LOAN-000294-430,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000294,EVT-LOAN-000294
LOAN-000309,752568,SUCCESS,2024-01-15T13:18Z,UTR-LOAN-000309-732,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000309,EVT-LOAN-000309
LOAN-000349,588396,SUCCESS,2024-01-15T13:21Z,UTR-LOAN-000349-213,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000349,EVT-LOAN-000349
LOAN-000359,269507,SUCCESS,2024-01-15T16:50Z,UTR-LOAN-000359-523,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000359,EVT-LOAN-000359
LOAN-000372,768665,SUCCESS,2024-01-15T10:44Z,UTR-LOAN-000372-60,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000372,EVT-LOAN-000372
LOAN-000386,724062,SUCCESS,2024-01-15T15:09Z,UTR-LOAN-000386-798,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000386,EVT-LOAN-000386
LOAN-000391,659865,SUCCESS,2024-01-15T10:01Z,UTR-LOAN-000391-138,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000391,EVT-LOAN-000391
LOAN-000394,142906,SUCCESS,2024-01-15T10:25Z,UTR-LOAN-000394-42,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000394,EVT-LOAN-000394
LOAN-000400,436264,SUCCESS,2024-01-15T12:43Z,UTR-LOAN-000400-330,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000400,EVT-LOAN-000400
LOAN-000404,238374,SUCCESS,2024-01-15T09:58Z,UTR-LOAN-000404-831,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000404,EVT-LOAN-000404
LOAN-000413,419656,SUCCESS,2024-01-15T11:41Z,UTR-LOAN-000413-591,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000413,EVT-LOAN-000413
LOAN-000439,402565,SUCCESS,2024-01-15T15:50Z,UTR-LOAN-000439-224,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000439,EVT-LOAN-000439
LOAN-000443,527990,SUCCESS,2024-01-15T15:05Z,UTR-LOAN-000443-408,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000443,EVT-LOAN-000443
LOAN-000448,239528,SUCCESS,2024-01-15T16:59Z,UTR-LOAN-000448-884,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000448,EVT-LOAN-000448
LOAN-000450,541349,SUCCESS,2024-01-15T15:12Z,UTR-LOAN-000450-649,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000450,EVT-LOAN-000450
LOAN-000453,875607,SUCCESS,2024-01-15T11:29Z,UTR-LOAN-000453-292,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000453,EVT-LOAN-000453
LOAN-000486,158623,SUCCESS,2024-01-15T15:06Z,UTR-LOAN-000486-421,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000486,EVT-LOAN-000486
LOAN-000492,407693,SUCCESS,2024-01-15T10:29Z,UTR-LOAN-000492-8,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000492,EVT-LOAN-000492
LOAN-000495,702899,SUCCESS,2024-01-15T14:46Z,UTR-LOAN-000495-327,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000495,EVT-LOAN-000495
LOAN-000505,272419,SUCCESS,2024-01-15T11:10Z,UTR-LOAN-000505-538,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000505,EVT-LOAN-000505
LOAN-000542,485403,SUCCESS,2024-01-15T16:29Z,UTR-LOAN-000542-217,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000542,EVT-LOAN-000542
LOAN-000560,785304,SUCCESS,2024-01-15T10:42Z,UTR-LOAN-000560-50,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000560,EVT-LOAN-000560
LOAN-000562,384003,SUCCESS,2024-01-15T11:11Z,UTR-LOAN-000562-47,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000562,EVT-LOAN-000562
LOAN-000603,297976,SUCCESS,2024-01-15T14:44Z,UTR-LOAN-000603-884,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000603,EVT-LOAN-000603
LOAN-000604,161503,SUCCESS,2024-01-15T09:35Z,UTR-LOAN-000604-681,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000604,EVT-LOAN-000604
LOAN-000610,730808,SUCCESS,2024-01-15T14:12Z,UTR-LOAN-000610-678,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000610,EVT-LOAN-000610
LOAN-000615,119976,SUCCESS,2024-01-15T12:52Z,UTR-LOAN-000615-590,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000615,EVT-LOAN-000615
LOAN-000619,157190,SUCCESS,2024-01-15T11:55Z,UTR-LOAN-000619-613,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000619,EVT-LOAN-000619
LOAN-000621,973506,SUCCESS,2024-01-15T11:28Z,UTR-LOAN-000621-475,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000621,EVT-LOAN-000621
LOAN-000630,227941,SUCCESS,2024-01-15T14:02Z,UTR-LOAN-000630-704,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000630,EVT-LOAN-000630
LOAN-000640,523891,SUCCESS,2024-01-15T09:24Z,UTR-LOAN-000640-838,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000640,EVT-LOAN-000640
LOAN-000656,978042,SUCCESS,2024-01-15T09:49Z,UTR-LOAN-000656-415,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000656,EVT-LOAN-000656
LOAN-000672,257889,SUCCESS,2024-01-15T12:26Z,UTR-LOAN-000672-815,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000672,EVT-LOAN-000672
LOAN-000673,217492,SUCCESS,2024-01-15T13:19Z,UTR-LOAN-000673-984,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000673,EVT-LOAN-000673
LOAN-000687,617477,SUCCESS,2024-01-15T15:56Z,UTR-LOAN-000687-521,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000687,EVT-LOAN-000687
LOAN-000694,160074,SUCCESS,2024-01-15T16:07Z,UTR-LOAN-000694-799,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000694,EVT-LOAN-000694
LOAN-000697,686073,SUCCESS,2024-01-15T15:02Z,UTR-LOAN-000697-921,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000697,EVT-LOAN-000697
LOAN-000705,238573,SUCCESS,2024-01-15T09:37Z,UTR-LOAN-000705-987,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000705,EVT-LOAN-000705
LOAN-000712,433317,SUCCESS,2024-01-15T14:42Z,UTR-LOAN-000712-483,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000712,EVT-LOAN-000712
LOAN-000719,385216,SUCCESS,2024-01-15T15:47Z,UTR-LOAN-000719-626,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000719,EVT-LOAN-000719
LOAN-000721,784739,SUCCESS,2024-01-15T15:00Z,UTR-LOAN-000721-467,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000721,EVT-LOAN-000721
LOAN-000738,612549,SUCCESS,2024-01-15T12:37Z,UTR-LOAN-000738-803,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000738,EVT-LOAN-000738
LOAN-000741,351167,SUCCESS,2024-01-15T09:01Z,UTR-LOAN-000741-542,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000741,EVT-LOAN-000741
LOAN-000752,432877,SUCCESS,2024-01-15T11:18Z,UTR-LOAN-000752-902,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000752,EVT-LOAN-000752
LOAN-000761,121392,SUCCESS,2024-01-15T09:01Z,UTR-LOAN-000761-97,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000761,EVT-LOAN-000761
LOAN-000774,948852,SUCCESS,2024-01-15T16:34Z,UTR-LOAN-000774-778,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000774,EVT-LOAN-000774
LOAN-000793,443167,SUCCESS,2024-01-15T15:41Z,UTR-LOAN-000793-164,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000793,EVT-LOAN-000793
LOAN-000794,651133,SUCCESS,2024-01-15T15:30Z,UTR-LOAN-000794-881,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000794,EVT-LOAN-000794
LOAN-000801,865669,SUCCESS,2024-01-15T09:46Z,UTR-LOAN-000801-386,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000801,EVT-LOAN-000801
LOAN-000808,798659,SUCCESS,2024-01-15T15:29Z,UTR-LOAN-000808-642,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000808,EVT-LOAN-000808
LOAN-000813,988276,SUCCESS,2024-01-15T16:03Z,UTR-LOAN-000813-32,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000813,EVT-LOAN-000813
LOAN-000825,371344,SUCCESS,2024-01-15T16:07Z,UTR-LOAN-000825-681,DISBURSEMENT_INSTRUCTION,CORR-LOAN-000825,EVT-LOAN-000825
